Word,Meaning,Example,Note,Tag,Source,Date
(to be) sitting pretty,"형편이 아주 좋다, 유리한 립장에 있다","After Chad won the lottery, he was really sitting pretty. He quit his job and bought a mansion in Malibu, California.",In a good position (often financially),,Lesson 17,"April 7, 2023 12:19 AM"
rest assured,(확실히 믿고) 안심하다. ⋯라는 것에 대해 안심하다[마음 푹 놓다],Rest assured that the police will find the thieves.,be sure,,Lesson 17,"April 7, 2023 12:19 AM"
do one’s best,최선을 다하다,"Although Ted did his best, he still failed his chemistry test.",to try as hard as possible,,Lesson 17,"April 7, 2023 12:19 AM"
deliver the goods,"(=come up with the goods) 기대에 부응하다, 약속을 지키다",I’m depending on you to finish the job on time. I know that you can deliver the goods!,to meet expectations; to do what’s required,,Lesson 17,"April 7, 2023 12:19 AM"
chitchat,"잡담, 수다","Okay, enough chitchat! Let’s start discussing this week’s reading assignment",casual conversation; gossip,,Lesson 17,"April 7, 2023 12:19 AM"
mansion,저택 (영국에서 아파트 이름에 쓰임),,,,Lesson 17,"April 10, 2023 3:30 AM"
lottery,"복권, win the lottery 복권에 당첨되다","If I won the lottery, I’d buy a beach house. 만약 복권에 당첨되면 해변가에 집을 살 수있을텐데",,,Lesson 17,"April 10, 2023 3:30 AM"
night owl,밤 늦게까지 자지 않고 활동하는 사람,I never go to bed before midnight. I’m a night owl.,a person who enjoys being active late at night,,Lesson 18,"April 10, 2023 3:06 AM"
stay up,(잘 시간에) 자지 않고 있다,"Whenever I stay up late, I regret it the next morning.",not to go to bed; to stay awake,,Lesson 18,"April 10, 2023 3:06 AM"
nothing doing,"(거절을 나타내어) 안 됩니다
(예상∙기대와 달리) 되지 않다, 아무 일도 일어나지 않다",You want me to buy the Golden Gate Bridge from you for a million bucks? Nothing doing!,Not a chance!,,Lesson 18,"April 10, 2023 3:06 AM"
lighten up,마음을 편하게 가지다,Don always takes his job so seriously. He needs to lighten up.,to stop taking things so seriously,,Lesson 18,"April 10, 2023 3:06 AM"
big shot,"〘일상어〙 거물, 유력자",Martin has become a real big shot in Hollywood. This year he produced several movies,a powerful or important person,,Lesson 18,"April 10, 2023 3:06 AM"
get on somebody’s nerves,"⋯의 신경에 거슬리다, ⋯을 짜증 나게 하다",My neighbor’s dog barks all night. It really gets on my nerves.,to annoy or irritate someone,,Lesson 18,"April 10, 2023 3:07 AM"
fool around,"(특별히 하는일이 없이) 놀다. 빈둥거리다,  [fool around with somebody]⋯와 바람피우다","If we keep fooling around here, we’ll be late the the restaurant!","to waste time, or spend it in a silly way",,Lesson 18,"April 10, 2023 3:07 AM"
get the show on the road,"지금 시작하다, 출발하다.",We can’t afford to waste any more time - let’s get the show on the road!,to start working; to begin an undertaking,,Lesson 18,"April 10, 2023 3:07 AM"
undertake,"<임무∙책임 등> 을 떠맡다, <행동∙계획 등> 에 착수하다",Baker undertook the job of writing the report. 베이커가 보고서를 작성하는 일을 맡았다,,,Lesson 18,"April 10, 2023 3:11 AM"
regret,⋯을 후회하다,Do you regret leaving your job? 직장을 그만둔 것을 후회하세요?,,,Lesson 18,"April 10, 2023 3:14 AM"
things are looking up,상황이 나아지고 있다,Elizabeth found a wonderful new job and just moved into a beautiful new apartment. Things are looking up for her.,things are improving,,Lesson 12,"April 10, 2023 3:54 AM"
like crazy,미친 듯이 많이[빠르게],"When Pete Sampras won the tennis match, the crowd started cheering like crazy.",with great speed or enthusiasm,,Lesson 12,"April 10, 2023 3:54 AM"
bite off more than you can chew,"과욕을 부리다, 무리를 하다",You agreed to host 50 exchange students from China? Aren’t you afraid you’ve bitten off more than you can chew?,to take on more than one is capable of; to take on too much,,Lesson 12,"April 10, 2023 3:54 AM"
like a chicken with its head cut off,"정신없이, 미친듯이","Ken was late for work, and he couldn’t find his car keys. He was running around his apartment like a chicken with its head cut off.",in a hysterical manner; in a frenzy; in a very nervous way,,Lesson 12,"April 10, 2023 3:54 AM"
pitch in,"두 팔 걷고 돕다, 돕기 위해 뛰어들다","If you need my help, just ask. I’d be happy to pitch in.",to help,,Lesson 12,"April 10, 2023 3:55 AM"
get going,"시작하다, 출발하다.","If you don’t get going on your homework soon, you’re going to be up all night",to get started on something; to set off for a destination; to leave,,Lesson 12,"April 10, 2023 3:55 AM"
never mind,신경 쓰지 마시오,Never mind what your friends say. You need to do what you think is right,don’t worry about something; forget it; it doesn’t matter,,Lesson 12,"April 10, 2023 3:55 AM"
help out,일을 도와주다,Amber offered to help out in the kitchen by chopping nuts.,to give assistance; to help,,Lesson 12,"April 10, 2023 3:55 AM"
for heaven’s sake,"(놀람∙화 등을 나타내며) 세상에, 도대체","Hurry up, for heaven’s sake! You’re going to be late for school.","a way of expressing emotions such as surprise, outrage, or impatience",,Lesson 12,"April 10, 2023 3:55 AM"
like pulling teeth,무척 힘든 일이다,It’s like pulling teeth getting Max to talk about his girlfriend.,very difficult,,Lesson 12,"April 10, 2023 3:55 AM"
outrage,"격분, 격노, 분개",,,,Lesson 12,"April 10, 2023 4:48 AM"
chop,<장작 등> 을 패다,,,,Lesson 12,"April 10, 2023 4:50 AM"
run around,"(이것저것 하느라) 분주히 움직이다, 이리저리 뛰어다니다",I’ve been running around all day making final arrangements for our trip to Costa Rica tomorrow.,to move about quickly,,Lesson 12,"April 10, 2023 4:55 AM"
in good spirits,행복한,"After she won the tennis tournament, Elizabeth was in good spirits.",happy; in a good mood,to learn,"Lesson 8, SELAA","March 24, 2023 12:05 AM"
good for you,(칭찬∙격려 등의 의미로) 잘했어요,You passed your math test? Good for you?,Good job! Well done,,Lesson 8,"April 10, 2023 5:15 AM"
beat around the bush,"말을 빙빙 돌리다, 에둘러 말하다","If you want something, tell me. Don’t beat around the bush!",to talk around the subject; to avoid getting to the point,,Lesson 8,"April 10, 2023 5:15 AM"
shell out,"(<돈>을) 쏟아붓다, 쓰다",How much am I going to have to shell out to get two tickets to the Rolling Stones concert?,to pay (often more than one would like),,Lesson 8,"April 10, 2023 5:15 AM"
made of money,부자,Max should be willing to loan you $10000 to start your new business. He’s made of money,very rich,,Lesson 8,"April 10, 2023 5:15 AM"
wise guy,아는[잘난] 척하는 사람,"When Mrs.Lee asked Joey what he wanted to be when he grew up, he said, “An adult” She told him not to be such a wise guy.",a smart aleck; one who makes a lot of sarcastic comments,,Lesson 8,"April 10, 2023 5:15 AM"
take the music world by storm,음악계를 뒤흔든다.,That new restaurant really took Chicago by storm!,to win popularity quickly,,Lesson 8,"April 10, 2023 5:15 AM"
pipe dream,"허황한 꿈, 꿈같은 이야기",You want to become a famous actor on Broadway? That sounds like a pipe dream.,an unrealistic hope,,Lesson 8,"April 10, 2023 5:16 AM"
dime a dozen,"널려 있다, 아주 흔하다","There are so many Starbucks coffee shops in Manhattan, they’re a dime a dozen.",so plentiful as to be nothing special; common,,Lesson 8,"April 10, 2023 5:16 AM"
make a splash,(대성공 등으로) 파란[돌풍]을 일으키다,Those new jeans really made a splash. All the kids are wearing them.,to win popularity quickly,,Lesson 8,"April 10, 2023 5:16 AM"
hard times,어려운 시절,"Since his wife left him for her dentist, Dan has been going through hard times.",a time of difficulty,,Lesson 8,"April 10, 2023 5:16 AM"
those are the breaks,나쁘다고 말할때 쓰는 표현,Your glasses fell on a rock and broke while you were fishing? Those are the breaks,when something bad happens and you can’t do anything about it,,Lesson 8,"April 10, 2023 5:16 AM"
pay somebody back,⋯에게 되돌려 주다,Nicole paid her friend back the $10 she borrowed.,to repay a loan or debt,,Lesson 8,"April 10, 2023 5:21 AM"
aleck,"잘난 체하는 사람, 건방진 사람",,,,Lesson 8,"April 10, 2023 5:24 AM"
sarcastic,"빈정대는, 비꼬는",Nick can be very sarcastic sometimes.,,,Lesson 8,"April 10, 2023 5:24 AM"
defeat,"패배, 패전",He was defeated by just 984 votes. 그는 겨우 984표 차로 패배했다,,,Lesson 19,"April 10, 2023 7:57 PM"
by a hair,아슬아슬하게,Larry won the bicycle race by a hair. The second-place winner came in just a second behind him.,just barely; very narrowly; by a small amount,,Lesson 19,"April 10, 2023 7:57 PM"
give up,"(<경찰 등>에게) 자수하다, 투항하다, ⋯하는 것을 포기하다",Bill gave up golf after realizing he’d never be good at it.,to admit defeat; to surrender,,Lesson 19,"April 10, 2023 7:57 PM"
live with it,<통증∙중병 등>을 안고[견디며] 살다,Your hair will never be straight. Just live with it!,to accept a difficult reality,,Lesson 19,"April 10, 2023 7:57 PM"
sure thing,"예, 물론입니다.","Gary bet all his money on a horse named Trixie, thinking she was a sure thing",an outcome that is assured,,Lesson 19,"April 10, 2023 7:57 PM"
mess up,"실수하다, 잘못하다",Amber messed up and put salt instead of sugar in the cookies,to make a mistake; to spoil an poortunity,,Lesson 19,"April 10, 2023 7:57 PM"
get real,정신 차려! 현실을 똑바로 보라!,You think you’re going to win $1 million in the lottery? Get real!,be serious or realistic about what’s going on,,Lesson 19,"April 10, 2023 7:57 PM"
put the blame on,…에게 책임을 들씌우다.,Don’t put the blame on me that your plants died while you were on vacation. You forgot to tell me to water them!,to name somebody else as responsible for a misdeed or misfortune,,Lesson 19,"April 10, 2023 7:57 PM"
give it somebody’s best shot,최선을 다하다.,I know you’re nervous about the interview. Just give it your best shot and see what happens.,to try as hard as somebody can,,Lesson 19,"April 10, 2023 7:57 PM"
set the record straight,"(잘못 알려진) 사실을 확실히 하다, 오해를 풀다","Ken knew his father was innocent, and he hoped he could set the record straight one day.",to correct an inaccurate account,,Lesson 19,"April 10, 2023 7:58 PM"
make a fool of somebody,⋯을 바보[웃음거리]로 만들다,Dan drank too much and then made a fool of himself,to cause oneself to look stupid,,Lesson 19,"April 10, 2023 7:58 PM"
fair and square,정정당당하게,Tony won the ping pong tournament fair and square,honestly,,Lesson 19,"April 10, 2023 7:58 PM"
go wrong,"<상황∙일 등이> 잘못 되어가다, (과정에서) 실수하다, 틀리다","Something went wrong with my neighbor’s car alarm system, and the alarm wouldn’t stop ringing all night.",to make a mistake; to go astray; to malfunction; to work incorrectly,,Lesson 19,"April 10, 2023 7:58 PM"
for sure,"〘일상어〙 (정확성을 나타내어) 확실히, 분명히","Mike is the most popular guy in school. If he runs for student body president, he’ll win for sure.",definitely,,Lesson 19,"April 10, 2023 7:58 PM"
tournament,승자 진출전,,,,Lesson 19,"April 10, 2023 8:00 PM"
rant and rave,"열변을 토하다, 고래고래 고함을 치다, 아우성 치다.",Please stop ranting and raving! Let’s discuss this issue in a calm manner,"to talk loudly, often in anger",,Lesson 20,"April 12, 2023 2:56 PM"
take aback,"⋯을 깜짝 놀라게 하다, ⋯을 어안이 벙벙하게 하다",I was taken aback when my friend asked me if she could borrow my toothbrush because she forgot hers at home.,surprised (almost always in a negative sense),,Lesson 20,"April 12, 2023 2:56 PM"
as a matter of fact,(방금 한 말에 더하여) 사실은,"We need more milk? As a matter of fact, I was just going to ask you to go shopping.",in fact; actually,,Lesson 20,"April 12, 2023 2:56 PM"
proportion,(두 수량 사이의) 비률,,,,Lesson 20,"April 12, 2023 2:56 PM"
blow things out of proportion,"<문제∙상황 등>을 실제보다 부풀리다, ⋯을 과장하다",They sent a 12 year-old boy to jail for biting his babysitter? Don’t you think they’re blowing things out of proportion?,to exaggerate; to make more of something than one should,,Lesson 20,"April 12, 2023 2:56 PM"
throw the book at somebody,⋯에게 엄벌을 내리다,"When Ted failed his chemistry test the second time, his teacher really threw the book at him.",to punish or chide severely,,Lesson 20,"April 12, 2023 2:57 PM"
find out,⋯을 알아내다,Al is calling the theater to find out what time the movie starts.,to learn; to discover,,Lesson 20,"April 12, 2023 2:57 PM"
sweep something under the rug,"..을 감추다, 그냥 묻어두다, 비밀로 하다.",Let’s just sweep this incident under the rug and move on.,"to hide something, often a scandal",,Lesson 20,"April 12, 2023 2:57 PM"
get a handle on,<상황∙문제 등>을 파악하다,This new computer program is very difficult. I still haven’t gotten a handle on it.,to gain an understanding of,,Lesson 20,"April 12, 2023 2:57 PM"
one’s heart goes out to somebody,"⋯에게 마음이 가다, ⋯에게 동정심을 느끼다",My heart goes out to the Richard. Their home was destroyed in a fire.,to feel sorry for someone,,Lesson 20,"April 12, 2023 2:57 PM"
get one’s act together,"정신 차리다, 제대로 하다","If Ted gets his act together now, he might be able to get into a good college.",to get organized; to start operating more effectively,,Lesson 20,"April 12, 2023 2:57 PM"
knock oneself out,록초가 되도록 일하다,"Ted knocked himself out getting votes for Nicole, and she didn’t even say think you.",to work very hard at something,,Lesson 20,"April 12, 2023 2:57 PM"
exaggerate,"과장하다, 부풀려 말하다",I couldn’t sleep for three days – I’m not exaggerating. 나는 4일동안 잠을 못 잤다. 과장이 아니다.,,,Lesson 20,"April 12, 2023 2:59 PM"
jail,"⋯을 투옥하다, 수감하다",,,,Lesson 20,"April 12, 2023 2:59 PM"
scandal,(개선되어야 할) 수치(스러운 일),,,,Lesson 20,"April 12, 2023 3:05 PM"
chide,⋯을 꾸짖다,,,,Lesson 20,"April 12, 2023 3:07 PM"
all over,"전면적인, 전체에 걸친","Nicole’s classmates are from all over the world, including Argentina, China, Japan, and Ukraine.",throughout; everywhere,,Lesson 21,"April 14, 2023 4:34 PM"
on a shoestring,"매우 적은 돈으로, 얼마 안 되는 밑천으로",Bob and Susan were living on a shoestring after Bob lost his job.,on a very low budget,,Lesson 21,"April 14, 2023 4:35 PM"
track record,"실적, 성과","We’ve spoken to your past employers, so we know you’ve got an excellent track record.",a record of achievements or performances,,Lesson 21,"April 14, 2023 4:35 PM"
in that case,"그런 경우라면, (만약) 그렇다면","It’s snowing? In that case, you’d better take the bus to school today instead of driving.",under that circumstance,,Lesson 21,"April 14, 2023 4:35 PM"
come to an agreement,합의[결론]에 도달하다,"If we can come to an agreement now, I can start work on Monday.",to reach an agreement,,Lesson 21,"April 14, 2023 4:35 PM"
make somebody’s day,⋯을 매우 기쁘게 하다,Our neighbors with the crazy dogs are moving away? That really makes my day!,to give one great satisfaction,,Lesson 21,"April 14, 2023 4:35 PM"
work out,"<계획∙안 등>을 짜내다, 고안하다, (특정 방향으로) <상황이> 풀리다, 진행되다",Nicole spent half the night helping Ted work out a very difficult chemistry problem.,to find a solution; to resolve,,Lesson 21,"April 14, 2023 4:35 PM"
nuts and bolts,"(<특정 분야∙일 등>의) 실제적인 사항, ⋯의 기본 사항",I don’t need to know the nuts and bolts of how the computer works - just show me how to turn it on.,details; basic components of something,,Lesson 21,"April 14, 2023 4:35 PM"
get in touch with,(⋯와) 련락하다,Leave me your contact information in case I need to get in touch with you while you’re on vacation,to be or to get in contact with somebody,,Lesson 21,"April 14, 2023 4:35 PM"
look forward to,⋯을 고대하다,I’m looking forward to my trip to Mexico next month.,to anticipate eagerly,,Lesson 21,"April 14, 2023 4:35 PM"
dragon lady,고압적이고 공격적인 녀자,Beth is a real dragon lady. She’s always screaming at her employees and blaming them for her mistakes. I hope she gets fired!,a nasty woman who misuses her power,,Lesson 22,"April 14, 2023 4:44 PM"
better off,형편이 좋아진,"We’re better off leaving for France on Thursday evening, so we can spend the entire weekend there.",in a more fortunate position,,Lesson 22,"April 14, 2023 4:44 PM"
nothing to do with somebody,⋯와 상관없다,"After I found out that Nora shoplifted some lipstick from the drugstore, I wanted nothing to do with her.",not have any relationship with someone; to not get involved with something,,Lesson 22,"April 14, 2023 4:44 PM"
That’s the way the cookie crumbles,(체념하며) 세상 일이 다 그렇지 뭐,You lost your job? That’s the way the cookie crumbles.,that’s the way things go sometimes and there’s nothing you can do about it.,,Lesson 22,"April 14, 2023 4:45 PM"
get it,리해하다,"I invited 40 people to my Thanksgiving dinner, but only 10 people came. I don’t get it!",to understand,,Lesson 22,"April 14, 2023 4:45 PM"
no laughing matter,웃어넘길 문제가 아니다,"When the tornado came into town, it was no laughing matter.",nothing to joke about; something serious,,Lesson 22,"April 14, 2023 4:45 PM"
buy out,⋯의 주식[지분]을 매입하다,Microsoft bought out Adam’s company for $12 million.,to purchase an entire business or someone’s share of a business,,Lesson 22,"April 14, 2023 4:45 PM"
dream come true,꿈이 이루어지다.,,,,Lesson 22,"April 14, 2023 4:45 PM"
strike it rich,큰 돈을 벌다,Chad struck it rich with the winning lottery ticket.,to attain sudden financial success,,Lesson 22,"April 14, 2023 4:45 PM"
rolling in dough,돈 많다,Susan and Bob don’t need to work anymore. They’re rolling in dough.,very rich,,Lesson 22,"April 14, 2023 4:45 PM"
stop by,(<특정 장소>에) 들리다,I’m having some friends over for pizza tomorrow night. Why don’t you stop by?,to pay a quick visit,,Lesson 23,"April 16, 2023 11:18 PM"
come on in,들어오세요,"Come on in, the door’s open",enter,,Lesson 23,"April 16, 2023 11:19 PM"
hold a grudge against (somebody),…에게 뒤끝이 있다.,Nicole holds a grudge against Jenny for voting for Andrea instead of her.,to stay angry with someone about a past offense,,Lesson 23,"April 16, 2023 11:19 PM"
burn somebody up,⋯을 열 받게 하다,Jenny didn’t vote for Nicole. That really burns Nicole up,to make someone angry,,Lesson 23,"April 16, 2023 11:19 PM"
no hard feelings,"나쁜 감정은 없다, 나쁘게 생각하지 말라","After the elections, Andrea said to Nicole, “I hope there are no hard feelings.”",no anger; no bitterness,,Lesson 23,"April 16, 2023 11:19 PM"
three sheets to the wind,완전 취하다,"After drinking four beers, Bob was three sheets to the wind.",drunk,,Lesson 23,"April 16, 2023 11:19 PM"
get rid of,"<필요 없는 것 등>을 버리다, 처분하다, <사람>을 내쫓다","We finally got rid of out spider problem, but now we have ants.",to free oneself of; to throw out,,Lesson 23,"April 16, 2023 11:19 PM"
get something straight,<사실 등>을 제대로 파악하다[리해하다],Are you sure you got the directions straight?,to clarify; to understand,,Lesson 23,"April 16, 2023 11:20 PM"
get plastered,술에 취하다.,Harold got plastered at the wedding and fell into the wedding cake.,to get drunk,,Lesson 23,"April 16, 2023 11:20 PM"
on the job,"업무 중에, 직장에서",Jennifer has for men on the job painting her house.,at work,,Lesson 23,"April 16, 2023 11:20 PM"
lose somebody’s head,"잃어버리다, 상실하다.",Nicole lost her head after losing the elections and started yelling at all her friends.,to lose control of one’s behavior; to not know what one is doing,,Lesson 23,"April 16, 2023 11:20 PM"
level with somebody,(사실을 숨기거나 속이다가) ⋯에게 솔직하게 털어놓다,Let me level with you. I’m voting for Andrea instead of you.,to speak openly and honestly with someone,,Lesson 23,"April 16, 2023 11:20 PM"
let somebody go,"⋯을 내보내다, 해고하다","The investment bank let Chris go after they discovering he was stealing erasers, paper clips, and other office supplies.",to fire; dismiss employees,,Lesson 23,"April 16, 2023 11:20 PM"
no use crying over spilt milk,이미 엎질러진 물이다,"Nicole realized she’d made some mistakes with her campaign for president, but there was no use crying over spilt milk.",there’s no point in regretting something that’s too late to change,,Lesson 23,"April 16, 2023 11:20 PM"
not on your life,"말도 안돼!, 어림없는 소리!",You want me to sit in that sauna for an hour? Not on your life!,definitely not,,Lesson 23,"April 16, 2023 11:20 PM"
well off,"부유한, 유복한",Debbie is a doctor and her husband is a lawyer. They’re quite well off.,wealthy; financially secure,,Lesson 23,"April 16, 2023 11:21 PM"
small fortune,큰돈,"When her great aunt died, Anne inherited a small fortune.",a good amount of money,,Lesson 23,"April 16, 2023 11:21 PM"
all along,"처음부터 (줄곧), 내내","Jenny told Nicole she would vote for her, but all along she was planning on voting for Andrea.",from beginning to end,,Lesson 24,"April 17, 2023 3:47 AM"
in charge of,(⋯을) 담당하다 …을 책임지다.,John is in charge of all international sales for his company.,having responsibility for,,Lesson 24,"April 17, 2023 3:47 AM"
lyrics,가사,I can’t remember the lyrics.,,,Lesson 24,"April 17, 2023 3:47 AM"
be sick and tired of,"신물이 나다, 지긋지긋하다.",Ted is sick and tired of hearing about what an excellent student Nicole is,completely bored with; sick of,,Lesson 24,"April 17, 2023 3:47 AM"
freak out,"기겁하다, 몹시 흥분하다",Ashley’s parents freaked out when she told them she was dropping out of college to become an actress.,to respond to something irrationally or crazily; to overreact,,Lesson 24,"April 17, 2023 3:48 AM"
first things first,우선 중요한 것부터,"You want to work here at Lulu’s Dance Club? First things first, have you ever worked as a dancer before?",let’s focus on the most important thing or task first,,Lesson 24,"April 17, 2023 3:48 AM"
in progress,진행 중에 있는,"Once the test is in progress, you will not be allowed to leave the room.",happening; under way; going on now,,Lesson 24,"April 17, 2023 3:48 AM"
buy time,시간을 벌다,We’re not sure yet whether or not we want to buy the house. We’d better buy some time so we can think about it over the weekend.,to make more time available,,Lesson 24,"April 17, 2023 3:48 AM"
cut it out,그만 좀 해,Cut it out! Stop trying to pull my shoes off!,stop it; stop the annoying behavior,,Lesson 24,"April 17, 2023 3:48 AM"
all better,"이젠 괜찮다, 다 나았다","If you’re not all better, you shouldn’t go to work tomorrow.",completely cured,,Lesson 24,"April 17, 2023 3:48 AM"
tease,"<사람> 을 놀리다, 곯리다",Did people tease you when you were a kid?,,,Lesson 24,"April 17, 2023 3:49 AM"
cure,"<환자 등> 을 치료하다, 완치하다",90% of patients can be cured of the disease.,,,Lesson 24,"April 17, 2023 3:49 AM"
make a fortune,큰돈을 벌다,Adam made a fortune when he sold his company to Microsoft.,to make a lot of money,,Lesson 24,"April 17, 2023 3:49 AM"
chill out,긴장을 풀라,"Chill out! If we miss this train, we’ll just take the next one.",to relax,,Lesson 24,"April 17, 2023 3:49 AM"
break into,,"If you want to break into journalism, it’s a good idea to work on a college newspaper.",to enter or be let into a profession,,Lesson 25,"April 18, 2023 7:38 PM"
spending money,,"Before Tim left for Europe, his parents gave him $400 in spending money.",money for minor expenses,,Lesson 25,"April 18, 2023 7:38 PM"
foot the bill,,You paid last time we went to the movies. Let me foot the bill this time.,to pay,,Lesson 25,"April 18, 2023 7:38 PM"
wine and dine,,Donna wined and dined Bob and Susan and then presented them with a contract for the sale of Susan’s Scrumptious Cookies.,to take someone out for an evening or an expensive meal,,Lesson 25,"April 18, 2023 7:38 PM"
cream of the crop,,"In the world of women’s tennis, the Williams sisters are the cream of the crop.",the best of a group,,Lesson 25,"April 18, 2023 7:38 PM"
be out of it,,Don’t ask for Susan’s advice on fashion. She’s really out of it. She wears sneakers with everything.,not aware or knowledgeable about trends or modern habits,,Lesson 25,"April 18, 2023 7:38 PM"
winning streak,,The basketball team hasn’t lost a game all season. They’re on a winning streak!,a series of wins,,Lesson 25,"April 18, 2023 7:38 PM"
big deal,,You won five dollars in the lottery? Big deal!,So what? That doesn’t really matter,,Lesson 25,"April 18, 2023 7:38 PM"
wrap up,,"If you wrap up your homework by eight o’clock, we’ll have time to catch a movie tonight.",to finish,,Lesson 25,"April 18, 2023 7:38 PM"
at all,In any way; to any extent,"Are you hungry, at all?
Robin never really liked him at all.",,learned,,"November 22, 2022 5:27 AM"
yank,⋯을 확 잡아당기다,One of the men grabbed Tom’s hair and yanked his head back.,"To pull something hard and suddenly, with a quick movement",to define,,"November 22, 2022 5:32 AM"
grateful,"고맙게 생각하는, 감사하는",,,to define,,"November 24, 2022 4:53 AM"
fulfilling,<일∙경험 등이> 만족감[성취감]을 주는,"I used to earn more money when I worked at the bank, but I find teaching much more fulfilling.",A feeling of utter (complete) happiness and satisfaction,to define,,"November 24, 2022 4:53 AM"
To have someone,누군가가 당신의 손님이라는것을 말하는 다른 방법,It’s been a joy having you at my house this weekend.,Another way to say that someone is your guest.,to define,,"November 24, 2022 4:54 AM"
anytime,"This is another way of saying “you’re welcome” when someone tells you, “thanks”.",,,to define,,"November 24, 2022 4:55 AM"
any time,at whatever time,,,to define,,"November 24, 2022 4:56 AM"
I would say,Used for giving your opinion when you think other people might not agree.,"We’ve been to more expensive hotels, but I’d say this is the one with the best service.",,to define,,"November 24, 2022 4:57 AM"
deserve,"⋯할 자격이 있다, ⋯해 마땅하다",We didn’t deserve to win. 우리는 이길 자격이 없었다,,learned,,"November 24, 2022 4:57 AM"
go out on a limb,To do something or say something that’s different from what other people do or say.,,,to define,,"November 24, 2022 4:59 AM"
To move someone,"If something moves you or is moving, it means that it causes you to feel strong emotions.",,,to define,,"November 24, 2022 5:02 AM"
" bullshit",something that is stupid or completely untrue.,,,to define,,"November 24, 2022 5:03 AM"
I am kidding,Another way to say that you are joking.,,,to define,,"November 24, 2022 5:04 AM"
